^DFound 456 mutants to test
ok       Unmutated baseline in 1s build + 1s test
 INFO Auto-set test timeout to 20s
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:756:13: replace || with && in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:755:24: replace < with == in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:755:24: replace < with <= in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:757:35: replace < with == in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:757:35: replace < with <= in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:54: replace / with % in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:54: replace / with * in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:80: replace * with + in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:772:80: replace * with / in CenteredScorer::score_at in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:796:9: replace PreparedEstimator::dimensions -> usize with 0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:796:9: replace PreparedEstimator::dimensions -> usize with 1 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:799:9: replace PreparedEstimator::query_norm -> f32 with 0.0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:799:9: replace PreparedEstimator::query_norm -> f32 with 1.0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:799:9: replace PreparedEstimator::query_norm -> f32 with -1.0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:802:9: replace PreparedEstimator::bits_per_dim -> u8 with 0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:802:9: replace PreparedEstimator::bits_per_dim -> u8 with 1 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:827:9: replace <impl crate::quant::QueryScorer for RaBitQScorer>::score -> f32 with 0.0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:827:9: replace <impl crate::quant::QueryScorer for RaBitQScorer>::score -> f32 with 1.0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:876:5: replace sign_words_from_packed_4bit -> Vec<u64> with vec![] in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:876:5: replace sign_words_from_packed_4bit -> Vec<u64> with vec![0] in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:876:5: replace sign_words_from_packed_4bit -> Vec<u64> with vec![1] in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:880:22: replace >= with < in sign_words_from_packed_4bit in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:886:35: replace |= with &= in sign_words_from_packed_4bit in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:886:44: replace << with >> in sign_words_from_packed_4bit in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:886:58: replace % with / in sign_words_from_packed_4bit in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:890:22: replace >= with < in sign_words_from_packed_4bit in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:896:35: replace |= with &= in sign_words_from_packed_4bit in 7s build + 15s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:896:44: replace << with >> in sign_words_from_packed_4bit in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:896:58: replace % with / in sign_words_from_packed_4bit in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:898:19: replace += with -= in sign_words_from_packed_4bit in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:921:5: replace binary_sign_lookup_4bit -> [u8; 16] with [0; 16] in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:921:5: replace binary_sign_lookup_4bit -> [u8; 16] with [1; 16] in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:942:5: replace persisted_sidecar_word_count -> usize with 0 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:942:5: replace persisted_sidecar_word_count -> usize with 1 in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:956:5: replace derive_persisted_sidecar_words -> Vec<u64> with vec![] in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:956:5: replace derive_persisted_sidecar_words -> Vec<u64> with vec![0] in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:956:5: replace derive_persisted_sidecar_words -> Vec<u64> with vec![1] in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:998:26: replace + with * in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:998:38: replace * with + in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1001:76: replace - with + in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1001:50: replace / with % in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1001:43: replace + with - in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1001:43: replace + with * in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1002:37: replace / with % in quantize_level in 1s build + 3s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1019:76: replace - with / in dequant_level in 1s build + 2s test
MISSED   hardening/careful/src/../../../src/quant/rabitq.rs:1019:72: replace * with + in dequant_level in 1s build + 2s test
