# Suite Report: task111h-1m-rerank-format-width-shared

- config: `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/task111h-1m-rerank-format-width-shared-suite.json`
- config_sha256: `8b7de524e34d23fcc4fc80b5ac0267640816b885f0f4f09f9591077b3bbbaf9e`
- dry_run: `false`
- steps: completed 124, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| drop-1m-index-rabitq4-w128-after | raw | Succeeded | 89 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w128-after.log` |
| drop-1m-index-rabitq4-w256-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w256-before.log` |
| load-1m-index-rabitq4-w256 | load | Succeeded | 292295 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq4-w256.log` |
| recall-1m-index-rabitq4-w256 | recall | Succeeded | 20126 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq4-w256.log` |
| latency-1m-index-rabitq4-w256 | latency | Succeeded | 25277 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq4-w256.log` |
| storage-1m-index-rabitq4-w256 | storage | Succeeded | 44 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq4-w256.log` |
| drop-1m-index-rabitq4-w256-after | raw | Succeeded | 90 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq4-w256-after.log` |
| drop-1m-index-rabitq8-w32-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w32-before.log` |
| load-1m-index-rabitq8-w32 | load | Succeeded | 298308 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq8-w32.log` |
| recall-1m-index-rabitq8-w32 | recall | Succeeded | 18264 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq8-w32.log` |
| latency-1m-index-rabitq8-w32 | latency | Succeeded | 22531 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq8-w32.log` |
| storage-1m-index-rabitq8-w32 | storage | Succeeded | 45 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq8-w32.log` |
| drop-1m-index-rabitq8-w32-after | raw | Succeeded | 174 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w32-after.log` |
| drop-1m-index-rabitq8-w64-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w64-before.log` |
| load-1m-index-rabitq8-w64 | load | Succeeded | 301541 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq8-w64.log` |
| recall-1m-index-rabitq8-w64 | recall | Succeeded | 18729 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq8-w64.log` |
| latency-1m-index-rabitq8-w64 | latency | Succeeded | 23979 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq8-w64.log` |
| storage-1m-index-rabitq8-w64 | storage | Succeeded | 46 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq8-w64.log` |
| drop-1m-index-rabitq8-w64-after | raw | Succeeded | 169 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w64-after.log` |
| drop-1m-index-rabitq8-w128-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w128-before.log` |
| load-1m-index-rabitq8-w128 | load | Succeeded | 318746 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq8-w128.log` |
| recall-1m-index-rabitq8-w128 | recall | Succeeded | 20130 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq8-w128.log` |
| latency-1m-index-rabitq8-w128 | latency | Succeeded | 25425 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq8-w128.log` |
| storage-1m-index-rabitq8-w128 | storage | Succeeded | 45 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq8-w128.log` |
| drop-1m-index-rabitq8-w128-after | raw | Succeeded | 158 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w128-after.log` |
| drop-1m-index-rabitq8-w256-before | raw | Succeeded | 11 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w256-before.log` |
| load-1m-index-rabitq8-w256 | load | Succeeded | 305453 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-rabitq8-w256.log` |
| recall-1m-index-rabitq8-w256 | recall | Succeeded | 24425 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-rabitq8-w256.log` |
| latency-1m-index-rabitq8-w256 | latency | Succeeded | 30039 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-rabitq8-w256.log` |
| storage-1m-index-rabitq8-w256 | storage | Succeeded | 54 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-rabitq8-w256.log` |
| drop-1m-index-rabitq8-w256-after | raw | Succeeded | 143 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-rabitq8-w256-after.log` |
| drop-1m-index-turboquant-w32-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w32-before.log` |
| load-1m-index-turboquant-w32 | load | Succeeded | 281604 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-turboquant-w32.log` |
| recall-1m-index-turboquant-w32 | recall | Succeeded | 18646 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-turboquant-w32.log` |
| latency-1m-index-turboquant-w32 | latency | Succeeded | 22955 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-turboquant-w32.log` |
| storage-1m-index-turboquant-w32 | storage | Succeeded | 50 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-turboquant-w32.log` |
| drop-1m-index-turboquant-w32-after | raw | Succeeded | 104 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w32-after.log` |
| drop-1m-index-turboquant-w64-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w64-before.log` |
| load-1m-index-turboquant-w64 | load | Succeeded | 279571 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-turboquant-w64.log` |
| recall-1m-index-turboquant-w64 | recall | Succeeded | 17717 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-turboquant-w64.log` |
| latency-1m-index-turboquant-w64 | latency | Succeeded | 23043 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-turboquant-w64.log` |
| storage-1m-index-turboquant-w64 | storage | Succeeded | 63 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-turboquant-w64.log` |
| drop-1m-index-turboquant-w64-after | raw | Succeeded | 128 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w64-after.log` |
| drop-1m-index-turboquant-w128-before | raw | Succeeded | 17 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w128-before.log` |
| load-1m-index-turboquant-w128 | load | Succeeded | 282529 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-turboquant-w128.log` |
| recall-1m-index-turboquant-w128 | recall | Succeeded | 18705 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-turboquant-w128.log` |
| latency-1m-index-turboquant-w128 | latency | Succeeded | 23924 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-turboquant-w128.log` |
| storage-1m-index-turboquant-w128 | storage | Succeeded | 48 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-turboquant-w128.log` |
| drop-1m-index-turboquant-w128-after | raw | Succeeded | 104 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w128-after.log` |
| drop-1m-index-turboquant-w256-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w256-before.log` |
| load-1m-index-turboquant-w256 | load | Succeeded | 290395 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-turboquant-w256.log` |
| recall-1m-index-turboquant-w256 | recall | Succeeded | 20802 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-turboquant-w256.log` |
| latency-1m-index-turboquant-w256 | latency | Succeeded | 25891 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-turboquant-w256.log` |
| storage-1m-index-turboquant-w256 | storage | Succeeded | 70 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-turboquant-w256.log` |
| drop-1m-index-turboquant-w256-after | raw | Succeeded | 156 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-turboquant-w256-after.log` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| load-1m-source-f32-w32 | load | load_timing | `phase=build_index`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `seconds=201.050000`, `subject=task111h021_1m_source_f32_w32_idx`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-1m-source-f32-w32 | load | ec_ivf_build_timing | `flush_build_plan_us=2245344`, `heap_ingest_us=81434355`, `heap_tuples=990000`, `index_tuples=990000`, `parallel_begin_us=1033`, `parallel_drain_us=79103442`, `parallel_sort_push_us=2329878`, `parallel_worker_tuple_buffer_capacity=1048576`, `parallel_worker_tuple_buffer_struct_bytes=67108864`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `requested_workers=1`, `stage_assign_us=81187794`, `stage_build_plan_us=81780939`, `stage_centroids_us=16662`, `stage_directory_us=372`, `stage_postings_us=567258`, `stage_pq_train_us=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `train_model_us=35264710`, `workers_launched=1` |
| load-1m-source-f32-w32 | load | load_timing | `phase=total`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `seconds=988.850000`, `subject=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-source-f32-w32 | recall | recall | `mean q-time=11.76 ms`, `ndcg@k=0.9895`, `nprobe=8`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.8850`, `recall_ci95_high=0.9033`, `recall_ci95_low=0.8637`, `recall_p10=0.6900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.1000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-source-f32-w32 | recall | recall | `mean q-time=9.82 ms`, `ndcg@k=0.9922`, `nprobe=16`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9150`, `recall_ci95_high=0.9307`, `recall_ci95_low=0.8961`, `recall_p10=0.7900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.2000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-source-f32-w32 | recall | recall | `mean q-time=12.19 ms`, `ndcg@k=0.9959`, `nprobe=32`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9470`, `recall_ci95_high=0.9593`, `recall_ci95_low=0.9313`, `recall_p10=0.8900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.2000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-source-f32-w32 | recall | recall | `mean q-time=18.13 ms`, `ndcg@k=0.9976`, `nprobe=64`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9620`, `recall_ci95_high=0.9722`, `recall_ci95_low=0.9483`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.4000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-source-f32-w32 | recall | recall | `mean q-time=29.47 ms`, `ndcg@k=0.9994`, `nprobe=128`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9710`, `recall_ci95_high=0.9797`, `recall_ci95_low=0.9587`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.5000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-source-f32-w32 | recall | recall | `mean q-time=42.22 ms`, `ndcg@k=0.9995`, `nprobe=200`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9730`, `recall_ci95_high=0.9814`, `recall_ci95_low=0.9610`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.5000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-source-f32-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=154516`, `max=12.5 ms`, `mean=7.91 ms`, `memory_samples=31`, `min=6.43 ms`, `nprobe=8`, `p50=7.80 ms`, `p95=8.99 ms`, `p99=9.96 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=154516`, `stddev=0.78 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
